"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","User_Score","Rating"
"The Lord of the Rings: The Return of the King","XB",2003,"Action","Electronic Arts",0.71,0.38,0,0.05,1.14,9.1,"T"
"Hot Shots Golf: Out of Bounds","PS3",2007,"Sports","Sony Computer Entertainment",0.31,0.03,0.76,0.04,1.14,8.8,"E"
"Red Dead Redemption: Undead Nightmare","PS3",2010,"Action","Take-Two Interactive",0.45,0.45,0.06,0.18,1.14,7.4,"M"
"Sunset Overdrive","XOne",2014,"Shooter","Microsoft Game Studios",0.63,0.4,0,0.1,1.14,7.7,"M"
"Mobile Suit Gundam: Federation vs. Zeon","PS2",2001,"Simulation","Atari",0.12,0.1,0.88,0.03,1.14,8.8,"T"
"Naruto Shippuden: Ultimate Ninja Storm 4","PS4",2016,"Fighting","Namco Bandai Games",0.41,0.45,0.11,0.17,1.14,8.2,"T"
"MechAssault","XB",2002,"Simulation","Microsoft Game Studios",1.01,0.1,0,0.03,1.13,8,"T"
"Cars","GBA",2006,"Racing","THQ",0.81,0.3,0,0.02,1.13,4.7,"E"
"Watch Dogs 2","PS4",2016,"Action","Ubisoft",0.37,0.58,0,0.18,1.13,7.8,"M"
"LEGO Star Wars III: The Clone Wars","3DS",2011,"Action","LucasArts",0.61,0.43,0,0.09,1.13,6.1,"E10+"
"Tom Clancy's Rainbow Six 3: Black Arrow","XB",2004,"Shooter","Ubisoft",0.99,0.12,0,0.02,1.13,8.6,"M"
"Mirror's Edge","PS3",2008,"Platform","Electronic Arts",0.31,0.58,0.02,0.22,1.13,7.8,"T"
"Guitar Hero 5","X360",2009,"Misc","Activision",0.65,0.37,0,0.11,1.13,6.8,"T"
"Alien: Isolation","PS4",2014,"Shooter","Sega",0.34,0.57,0.04,0.17,1.13,8.1,"M"
"Fantasy Life","3DS",2012,"Role-Playing","Nintendo",0.33,0.37,0.37,0.06,1.13,8.6,"E10+"
"SingStar","PS3",2007,"Misc","Sony Computer Entertainment",0.45,0.56,0,0.12,1.13,5.9,"T"
"The Legend of Zelda: Tri Force Heroes","3DS",2015,"Action","Nintendo",0.53,0.33,0.17,0.08,1.12,7.6,"E"
"Supercar Street Challenge","PS2",2001,"Racing","Activision",0.55,0.43,0,0.14,1.12,7.6,"E"
"Rabbids Go Home","Wii",2009,"Platform","Ubisoft",0.25,0.74,0,0.14,1.12,8.3,"E10+"
"ModNation Racers","PS3",2010,"Racing","Sony Computer Entertainment",0.5,0.4,0.06,0.16,1.12,8.4,"E"
"SOCOM: U.S. Navy SEALs Fireteam Bravo","PSP",2005,"Shooter","Sony Computer Entertainment",1.03,0,0.01,0.08,1.12,8.6,"M"
"Rocksmith","PS3",2011,"Misc","Ubisoft",0.53,0.36,0.09,0.15,1.12,8.3,"T"
"Call Of Duty 2: Big Red One","XB",2005,"Shooter","Activision",0.66,0.4,0,0.05,1.12,5.1,"T"
"Rocksmith","X360",2011,"Misc","Ubisoft",0.84,0.19,0.01,0.08,1.12,8.2,"T"
"Guitar Hero 5","PS2",2009,"Misc","Activision",0.28,0.3,0,0.54,1.12,2.6,"T"
"Worldwide Soccer Manager 2008","PC",2007,"Sports","Russel",0,1.12,0,0,1.12,8,"E"
"Yakuza 3","PS3",2009,"Action","Sega",0.21,0.2,0.62,0.08,1.12,8.1,"M"
"Persona 4: Golden","PSV",2012,"Role-Playing","Atlus",0.36,0.23,0.38,0.15,1.12,9.2,"M"
"Spider-Man 2","XB",2004,"Action","Activision",0.82,0.26,0,0.04,1.12,8.3,"T"
"Crackdown 2","X360",2010,"Shooter","Microsoft Game Studios",0.63,0.36,0.02,0.1,1.12,6,"M"
"The Beatles: Rock Band","PS3",2009,"Misc","MTV Games",0.67,0.29,0,0.15,1.12,8.7,"T"
"Dragon Age II","X360",2011,"Action","Electronic Arts",0.72,0.29,0.01,0.09,1.11,4.5,"M"
"Counter-Strike","XB",2003,"Shooter","Microsoft Game Studios",0.85,0.23,0,0.04,1.11,7.6,"M"
"Guitar Hero Encore: Rocks The 80s","PS2",2007,"Misc","RedOctane",0.92,0.04,0,0.15,1.11,6.3,"T"
"Fight Night Champion","PS3",2011,"Fighting","Electronic Arts",0.45,0.49,0,0.18,1.11,7.3,"M"
"Tom Clancy's Splinter Cell: Chaos Theory","XB",2005,"Action","Ubisoft",0.68,0.38,0,0.05,1.11,9,"M"
"Pikmin 3","WiiU",2013,"Strategy","Nintendo",0.44,0.32,0.29,0.07,1.11,8.7,"E10+"
"WWE 2K14","X360",2013,"Sports","Take-Two Interactive",0.64,0.37,0,0.1,1.11,7.7,"T"
"Dragon Ball: XenoVerse","PS4",2015,"Fighting","Namco Bandai Games",0.3,0.52,0.12,0.16,1.11,7.7,"T"
"Castlevania: Lords of Shadow","PS3",2010,"Action","Konami Digital Entertainment",0.5,0.35,0.1,0.15,1.1,8,"M"
"Plants vs. Zombies","DS",2011,"Strategy","Mastertronic",0.9,0.12,0,0.08,1.1,7.4,"E10+"
"Tales of Symphonia","GC",2003,"Role-Playing","Nintendo",0.54,0.21,0.31,0.04,1.1,8.5,"T"
"LEGO City Undercover","WiiU",2013,"Platform","Nintendo",0.47,0.42,0.13,0.08,1.1,8.2,"E10+"
"Need for Speed: ProStreet","Wii",2007,"Racing","Electronic Arts",0.53,0.45,0,0.12,1.1,6.9,"E10+"
"GRID","PS3",2008,"Racing","Codemasters",0.31,0.56,0.03,0.2,1.1,8.1,"E"
"Medal of Honor: Airborne","X360",2007,"Shooter","Electronic Arts",0.45,0.52,0.01,0.12,1.1,6.7,"T"
"Star Ocean: The Second Story","PS",1998,"Role-Playing","Sony Computer Entertainment",0.26,0.1,0.72,0.02,1.1,8.5,"E"
"NCAA Football 14","X360",2013,"Sports","Electronic Arts",1.01,0,0,0.08,1.09,5.8,"E"
"Yakuza 2","PS2",2006,"Adventure","Sega",0.05,0.04,0.84,0.16,1.09,8.1,"M"
"Guitar Hero 5","PS3",2009,"Misc","Activision",0.53,0.39,0,0.17,1.09,5.7,"T"
"Dragon Ball Z: The Legacy of Goku II","GBA",2003,"Role-Playing","Atari",0.78,0.29,0,0.02,1.09,8.9,"E"
"NERF N-Strike","Wii",2008,"Shooter","Electronic Arts",0.91,0.09,0,0.09,1.09,4.4,"E10+"
"NFL 2K1","DC",2000,"Sports","Sega",1.02,0.05,0,0.02,1.09,6,"E"
"Untold Legends: Brotherhood of the Blade","PSP",2005,"Role-Playing","Activision",0.54,0.33,0.01,0.22,1.09,7.6,"T"
"Project CARS","PS4",2015,"Racing","Slightly Mad Studios",0.2,0.7,0.02,0.16,1.09,6.6,"E"
"Madden NFL 2004","XB",2003,"Sports","Electronic Arts",1.02,0.02,0,0.05,1.09,8.3,"E"
"Sonic and the Black Knight","Wii",2009,"Platform","Sega",0.64,0.34,0.01,0.1,1.09,6.9,"E10+"
"The Godfather","PS2",2006,"Action","Electronic Arts",0.89,0.03,0.01,0.15,1.09,8.3,"M"
"Sonic Free Riders","X360",2010,"Racing","Sega",0.74,0.25,0,0.09,1.09,2.1,"E"
"Star Wars: Bounty Hunter","PS2",2002,"Shooter","LucasArts",0.53,0.42,0,0.14,1.09,8.3,"T"
"WWE SmackDown vs. Raw 2011","PS3",2010,"Fighting","THQ",0.44,0.46,0.01,0.18,1.09,6.9,"T"
"NCAA Football 13","X360",2012,"Action","Electronic Arts",1.02,0,0,0.07,1.09,5.5,"E"
"Skate 2","X360",2009,"Sports","Electronic Arts",0.82,0.17,0.01,0.09,1.09,8,"T"
"NASCAR Thunder 2004","PS2",2003,"Racing","Electronic Arts",0.53,0.41,0,0.14,1.08,8.9,"E"
"SpongeBob SquarePants: Revenge of the Flying Dutchman","PS2",2002,"Platform","THQ",0.53,0.41,0,0.14,1.08,6.6,"E"
"Namco Museum Battle Collection","PSP",2005,"Misc","Sony Computer Entertainment",0.75,0.18,0,0.16,1.08,7.2,"E10+"
"Empire: Total War","PC",2009,"Strategy","Sega",0.01,0.97,0,0.1,1.08,6.9,"T"
"Virtua Fighter 5","PS3",2007,"Fighting","Sega",0.29,0.51,0.08,0.2,1.08,7.4,"T"
"Dante's Inferno","PS3",2010,"Action","Electronic Arts",0.64,0.28,0.04,0.13,1.08,7.5,"M"
"Tom Clancy's Ghost Recon 2","PS2",2004,"Shooter","Ubisoft",0.64,0.34,0,0.1,1.08,6,"T"
"Forza Horizon 3","XOne",2016,"Racing","Microsoft Game Studios",0.42,0.58,0,0.08,1.08,7.4,"E"
"Star Wars: The Force Unleashed","PSP",2008,"Action","LucasArts",0.43,0.4,0,0.24,1.08,8.1,"T"
"Dragon Ball Z: Taiketsu","GBA",2003,"Fighting","Atari",0.77,0.29,0,0.02,1.08,6.1,"T"
"Star Fox: Assault","GC",2005,"Shooter","Nintendo",0.68,0.18,0.19,0.03,1.08,8.1,"T"
"Plants vs. Zombies: Garden Warfare","X360",2014,"Shooter","Electronic Arts",0.51,0.47,0,0.09,1.08,7.3,"E10+"
"The Simpsons Game","PSP",2007,"Action","Electronic Arts",0.24,0.54,0,0.3,1.07,6.7,"T"
"LEGO Star Wars II: The Original Trilogy","DS",2006,"Action","LucasArts",0.96,0.03,0,0.08,1.07,5,"E"
"Call of Duty 3","PS2",2006,"Shooter","Activision",0.89,0.03,0,0.15,1.07,7.4,"T"
"FIFA Soccer 11","Wii",2010,"Sports","Electronic Arts",0.26,0.69,0,0.12,1.07,7.3,"E"
"Prince of Persia","PS3",2008,"Action","Ubisoft",0.47,0.4,0.03,0.17,1.07,7.3,"T"
"WWE SmackDown vs. Raw 2010","PS2",2009,"Fighting","THQ",0.53,0.01,0,0.54,1.07,7.7,"T"
"Tomb Raider: Underworld","X360",2008,"Action","Eidos Interactive",0.53,0.42,0.01,0.11,1.07,6.6,"T"
"Pro Evolution Soccer 2008","X360",2007,"Sports","Konami Digital Entertainment",0.08,0.9,0.04,0.05,1.07,7.8,"E"
"SoulCalibur III","PS2",2005,"Fighting","Namco Bandai Games",0.74,0.15,0.13,0.05,1.07,8.4,"T"
"Tiger Woods PGA Tour 10","Wii",2009,"Sports","Electronic Arts",0.6,0.36,0,0.11,1.07,8.8,"E"
"World Tour Soccer","PSP",2005,"Sports","Sony Computer Entertainment",0.1,0.63,0,0.34,1.07,5.6,"E"
"Naruto: Ultimate Ninja Storm","PS3",2008,"Fighting","Namco Bandai Games",0.49,0.34,0.09,0.15,1.07,8.6,"T"
"Red Dead Redemption: Undead Nightmare","X360",2010,"Action","Take-Two Interactive",0.57,0.38,0.02,0.1,1.07,7.6,"M"
"Lightning Returns: Final Fantasy XIII","PS3",2013,"Role-Playing","Square Enix",0.31,0.2,0.45,0.11,1.07,5.9,"T"
"Mortal Kombat: Armageddon","PS2",2006,"Fighting","Midway Games",0.88,0.04,0,0.14,1.06,8.5,"M"
"Freekstyle","PS2",2002,"Racing","Electronic Arts",0.52,0.41,0,0.14,1.06,7.3,"E"
"Grand Theft Auto: Chinatown Wars","PSP",2009,"Action","Take-Two Interactive",0.28,0.49,0.03,0.27,1.06,7.3,"M"
"Spore Creatures","DS",2008,"Simulation","Electronic Arts",0.66,0.3,0,0.1,1.06,6.5,"E"
"The Orange Box","PS3",2007,"Shooter","Electronic Arts",0.28,0.58,0,0.21,1.06,8.4,"M"
"DJ Hero","X360",2009,"Misc","Activision",0.56,0.39,0,0.11,1.06,8,"T"
"Bully: Scholarship Edition","X360",2008,"Action","Take-Two Interactive",0.53,0.4,0.03,0.11,1.06,8.3,"T"
"NBA Street V3","PS2",2005,"Sports","Electronic Arts",0.52,0.41,0,0.14,1.06,8.7,"E"
"Hulk","PS2",2003,"Action","Universal Interactive",0.52,0.41,0,0.14,1.06,8.3,"T"
"Overwatch","XOne",2016,"Shooter","Activision",0.63,0.33,0,0.1,1.06,5.6,"T"
"Aliens vs Predator","X360",2010,"Shooter","Sega",0.55,0.4,0,0.11,1.06,7.3,"M"
"Skylanders Giants","PS3",2012,"Action","Activision",0.36,0.49,0,0.2,1.06,6.3,"E10+"
"Diablo II: Lord of Destruction","PC",2001,"Role-Playing","Vivendi Games",1.03,0.02,0,0,1.06,9.1,"M"
"Endless Ocean","Wii",2007,"Adventure","Nintendo",0.43,0.46,0.09,0.09,1.06,8.1,"E"
"Spider-Man 2","GBA",2004,"Action","Activision",0.76,0.28,0,0.02,1.06,7.7,"E"
"Seek and Destroy","PS2",2002,"Racing","Play It",0.52,0.4,0,0.14,1.06,8.8,"T"
"Darksiders","X360",2010,"Action","THQ",0.67,0.28,0.01,0.1,1.06,7.9,"M"
"Mercenaries 2: World in Flames","X360",2008,"Shooter","Electronic Arts",0.65,0.3,0.01,0.1,1.06,7.2,"T"
"LEGO Marvel Super Heroes","XOne",2013,"Action","Warner Bros. Interactive Entertainment",0.61,0.35,0,0.09,1.06,6.8,"E10+"
"Warhawk","PS3",2007,"Simulation","Sony Computer Entertainment",0.49,0.39,0,0.17,1.06,8.4,"T"
"DiRT 3","PS3",2011,"Racing","Codemasters",0.27,0.57,0.01,0.2,1.06,7.1,"T"
"Sega Superstars Tennis","Wii",2008,"Sports","Sega",0.28,0.65,0,0.13,1.05,7,"E10+"
"DiRT","PS3",2007,"Racing","Codemasters",0.16,0.66,0,0.23,1.05,8,"E"
"Call of Duty 4: Modern Warfare","DS",2007,"Shooter","Activision",0.95,0.01,0.01,0.08,1.05,6.9,"T"
"Resident Evil: The Darkside Chronicles","Wii",2009,"Action","Capcom",0.46,0.31,0.2,0.09,1.05,8,"M"
"SOCOM: U.S. Navy SEALs Fireteam Bravo 2","PSP",2006,"Shooter","Sony Computer Entertainment",0.81,0.11,0,0.13,1.05,9,"T"
"NBA 2K3","PS2",2002,"Sports","Sega",0.51,0.4,0,0.13,1.05,8,"E"
"LEGO The Lord of the Rings","PS3",2012,"Action","Warner Bros. Interactive Entertainment",0.37,0.49,0,0.19,1.05,8.3,"E10+"
"The Simpsons: Road Rage","XB",2001,"Racing","Electronic Arts",0.78,0.26,0,0.01,1.05,8.3,"T"
"Dave Mirra Freestyle BMX","PS",2000,"Sports","Acclaim Entertainment",0.91,0.11,0,0.03,1.05,8.4,"E"
"EA Sports UFC","PS4",2014,"Sports","Electronic Arts",0.46,0.41,0.01,0.17,1.05,6.1,"T"
"Forza Motorsport","XB",2005,"Racing","Microsoft Game Studios",0.52,0.51,0,0.02,1.05,7.6,"E"
"Virtua Tennis 3","PS3",2007,"Sports","Sega",0.23,0.58,0.03,0.21,1.05,7.9,"E"
"MVP Baseball 2003","PS2",2003,"Sports","Electronic Arts",0.51,0.4,0,0.13,1.04,8.9,"E"
"Imagine: Animal Doctor","DS",2007,"Simulation","Ubisoft",0.45,0.48,0,0.11,1.04,7.4,"E"
"WWE SmackDown vs. Raw 2010","X360",2009,"Fighting","THQ",0.56,0.37,0.01,0.1,1.04,8.4,"T"
"Sleeping Dogs","PS3",2012,"Action","Square Enix",0.31,0.49,0.05,0.19,1.04,7.7,"M"
"Naruto: Clash of Ninja 2","GC",2003,"Fighting","Nintendo",0.44,0.12,0.45,0.03,1.04,8.9,"T"
"Dance Dance Revolution SuperNOVA","PS2",2006,"Simulation","Konami Digital Entertainment",0.87,0.03,0,0.14,1.04,8.7,"E10+"
"Aliens vs Predator","PS3",2010,"Shooter","Sega",0.41,0.46,0,0.18,1.04,7.3,"M"
"F-Zero: Maximum Velocity","GBA",2001,"Racing","Nintendo",0.39,0.16,0.37,0.12,1.04,8.5,"E"
"Sonic the Hedgehog","X360",2006,"Platform","Sega",0.44,0.48,0,0.11,1.04,4.4,"E10+"
"Need for Speed: Most Wanted","XB",2005,"Racing","Electronic Arts",0.53,0.46,0,0.05,1.04,8.8,"T"
"The Simpsons Game","X360",2007,"Action","Electronic Arts",0.54,0.39,0,0.11,1.03,7.7,"T"
"F1 2012","PS3",2012,"Racing","Codemasters",0.12,0.63,0.05,0.23,1.03,7.5,"E"
"Brink","X360",2011,"Shooter","Bethesda Softworks",0.59,0.35,0.01,0.09,1.03,5.8,"T"
"MX vs. ATV Unleashed","PS2",2005,"Racing","THQ",0.86,0.03,0,0.14,1.03,8.4,"E"
"WipEout Pure","PSP",2005,"Racing","Sony Computer Entertainment",0.47,0.34,0,0.23,1.03,7.9,"E"
"UFC Undisputed 3","PS3",2012,"Action","THQ",0.55,0.32,0.03,0.13,1.03,7.4,"T"
"LEGO Pirates of the Caribbean: The Video Game","X360",2011,"Action","Disney Interactive Studios",0.54,0.39,0,0.09,1.03,7,"E10+"
"Tom Clancy's Ghost Recon Advanced Warfighter 2","PS3",2007,"Shooter","Ubisoft",0.34,0.48,0.02,0.19,1.03,8.1,"T"
"Super Princess Peach","DS",2005,"Platform","Nintendo",0.7,0.05,0.21,0.07,1.03,7.6,"E"
"Guinness World Records: The Videogame","Wii",2008,"Action","Warner Bros. Interactive Entertainment",0.46,0.47,0,0.11,1.03,7,"E10+"
"NCAA March Madness 2004","PS2",2003,"Sports","Electronic Arts",0.5,0.39,0,0.13,1.03,8.8,"E"
"The Legend of Zelda: Twilight Princess HD","WiiU",2016,"Action","Nintendo",0.56,0.3,0.08,0.09,1.03,8.4,"T"
"LEGO Indiana Jones: The Original Adventures","PS3",2008,"Action","Activision",0.44,0.42,0,0.17,1.03,7.7,"E10+"
"Tomb Raider","PC",1996,"Action","Eidos Interactive",0.96,0.07,0,0,1.03,8.5,"M"
"Street Fighter Alpha 3","PS",1998,"Fighting","Virgin Interactive",0.38,0.12,0.51,0.02,1.03,8.5,"T"
"MySims Agents","Wii",2009,"Adventure","Electronic Arts",0.61,0.32,0,0.1,1.03,8.6,"E"
"MotorStorm: Arctic Edge","PSP",2009,"Racing","Sony Computer Entertainment",0.16,0.57,0,0.29,1.02,8.8,"T"
"FIFA Soccer 08","Wii",2007,"Sports","Electronic Arts",0.32,0.59,0.01,0.11,1.02,6.1,"E"
"Tiger Woods PGA Tour 08","Wii",2007,"Sports","Electronic Arts",0.93,0.01,0,0.08,1.02,7,"E"
"Dragon Ball Z: Budokai Tenkaichi 3","Wii",2007,"Fighting","Atari",0.32,0.36,0.26,0.09,1.02,8.4,"T"
"Shrek 2","GC",2004,"Platform","Activision",0.73,0.26,0.01,0.03,1.02,6.4,"E"
"NBA 2K17","XOne",2016,"Sports","Take-Two Interactive",0.86,0.06,0,0.11,1.02,6.2,"E"
"Tom Clancy's Ghost Recon Advanced Warfighter 2","X360",2007,"Shooter","Ubisoft",0.87,0.05,0.02,0.08,1.02,8.1,"T"
"Sonic Unleashed","PS3",2008,"Platform","Sega",0.56,0.32,0.01,0.14,1.02,7.9,"E10+"
"Disney Universe","Wii",2011,"Action","Disney Interactive Studios",0.64,0.28,0,0.1,1.02,6,"E10+"
"Dance on Broadway","Wii",2010,"Misc","Ubisoft",0.25,0.65,0,0.12,1.02,3.3,"E10+"
"LEGO Indiana Jones 2: The Adventure Continues","X360",2009,"Action","Activision",0.62,0.31,0,0.09,1.02,7.4,"E10+"
"Petz: Catz 2","DS",2007,"Simulation","Ubisoft",0.51,0.4,0,0.11,1.02,9,"E"
"Bulletstorm","X360",2011,"Shooter","Electronic Arts",0.61,0.32,0.01,0.08,1.02,7.6,"M"
"Skylanders SWAP Force","PS3",2013,"Platform","Activision",0.43,0.42,0,0.17,1.02,5.3,"E10+"
"Madden NFL 07","XB",2006,"Sports","Electronic Arts",0.97,0.03,0,0.03,1.02,8.7,"E"
"Sonic Generations","3DS",2011,"Platform","Sega",0.44,0.47,0.01,0.09,1.02,6.9,"E"
"Rock Band 2","Wii",2008,"Misc","MTV Games",0.93,0.01,0,0.08,1.02,7.7,"T"
"Harry Potter and the Prisoner of Azkaban","PS2",2004,"Action","Electronic Arts",0.5,0.39,0,0.13,1.02,8.7,"E"
"Pokemon Conquest","DS",2012,"Role-Playing","Nintendo",0.56,0.05,0.37,0.04,1.02,8.2,"E"
"Wall-E","Wii",2008,"Platform","THQ",0.51,0.4,0,0.11,1.01,3.6,"E"
"Naruto: Clash of Ninja Revolution","Wii",2007,"Fighting","Tomy Corporation",0.44,0.46,0,0.11,1.01,8,"T"
"Ace Combat 6: Fires of Liberation","X360",2007,"Simulation","Atari",0.69,0.04,0.22,0.06,1.01,7.9,"T"
"The Simpsons Game","Wii",2007,"Action","Electronic Arts",0.45,0.46,0,0.11,1.01,6.1,"T"
"Ninja Gaiden II","X360",2008,"Action","Tecmo Koei",0.65,0.22,0.05,0.1,1.01,8,"M"
"Assassin's Creed: Rogue","X360",2014,"Action","Ubisoft",0.58,0.34,0,0.09,1.01,7.3,"M"
"Rayman Legends","PS4",2014,"Platform","Ubisoft",0.22,0.64,0,0.16,1.01,8.5,"E10+"
"Prince of Persia","X360",2008,"Action","Ubisoft",0.54,0.34,0.02,0.1,1.01,7,"T"
"Monster Rancher","PS",1997,"Simulation","Tecmo Koei",0.12,0.08,0.74,0.07,1.01,8.3,""
"ZombiU","WiiU",2012,"Action","Ubisoft",0.52,0.36,0.05,0.08,1.01,7.7,"M"
"Pokken Tournament","WiiU",2016,"Fighting","Namco Bandai Games",0.5,0.26,0.17,0.08,1.01,8,"E10+"
"Ford Racing 2","PS2",2003,"Racing","Empire Interactive",0.49,0.38,0,0.13,1,8,"E"
"NERF N-Strike Elite","Wii",2009,"Shooter","Electronic Arts",0.93,0,0,0.07,1,4.5,"E10+"
"God of War: Ghost of Sparta","PSP",2010,"Action","Sony Computer Entertainment",0.41,0.35,0.03,0.21,1,8.4,"M"
"SoulCalibur II","XB",2003,"Fighting","Namco Bandai Games",0.78,0.18,0.03,0,1,8.9,"T"
"Dynasty Warriors 3: Xtreme Legends","PS2",2002,"Action","Tecmo Koei",0.13,0.1,0.74,0.03,1,9.3,"T"
"Rayman Origins","PS3",2011,"Platform","Ubisoft",0.33,0.49,0.01,0.17,1,8.4,"E10+"
"NFL Fever 2002","XB",2000,"Sports","Microsoft Game Studios",0.74,0.21,0,0.04,0.99,8.5,"E"
"Just Dance 2014","X360",2013,"Misc","Ubisoft",0.72,0.17,0,0.1,0.99,7.8,"E10+"
"NCAA Football 12","X360",2011,"Sports","Electronic Arts",0.94,0,0,0.06,0.99,6.6,"E"
"UFC Undisputed 3","X360",2012,"Action","THQ",0.72,0.2,0,0.08,0.99,7.6,"T"
"Kirby: Mass Attack","DS",2011,"Platform","Nintendo",0.48,0.06,0.41,0.05,0.99,8.6,"E"
"Haze","PS3",2008,"Shooter","Ubisoft",0.49,0.33,0.02,0.15,0.99,6.5,"M"
"Oddworld: Abe's Exoddus","PS",1998,"Platform","GT Interactive",0.55,0.38,0,0.06,0.99,9.1,"T"
"The Bouncer","PS2",2000,"Action","Sony Computer Entertainment",0.3,0.23,0.38,0.08,0.99,8,"T"
"DiRT 2","PS3",2009,"Racing","Codemasters",0.27,0.52,0,0.19,0.99,8.2,"T"
"Guitar Hero: Aerosmith","PS3",2008,"Misc","Activision",0.73,0.15,0,0.11,0.99,5,"T"
"Shadow The Hedgehog","GC",2005,"Platform","Sega",0.76,0.2,0,0.03,0.99,6.6,"E10+"
"EyePet","PS3",2009,"Simulation","Sony Computer Entertainment",0.35,0.52,0.04,0.08,0.99,8.2,"E"
"Apollo Justice: Ace Attorney","DS",2007,"Adventure","Capcom",0.28,0.04,0.64,0.03,0.99,8.1,"T"
"Ace Combat X: Skies of Deception","PSP",2006,"Simulation","Namco Bandai Games",0.37,0.3,0.12,0.19,0.99,8.3,"T"
"Dark Souls","X360",2011,"Role-Playing","Namco Bandai Games",0.64,0.27,0,0.09,0.99,8.4,"M"
"Midnight Club: LA Remix","PSP",2008,"Racing","Take-Two Interactive",0.52,0.27,0,0.19,0.98,8.7,"T"
"Pro Evolution Soccer 2008","PSP",2008,"Sports","Konami Digital Entertainment",0.02,0.53,0.19,0.25,0.98,6.8,"E"
"FIFA Soccer 10","Wii",2009,"Sports","Electronic Arts",0.23,0.64,0,0.11,0.98,6.2,"E"
"Tales of Graces f","PS3",2010,"Role-Playing","Namco Bandai Games",0.28,0.18,0.45,0.07,0.98,8.2,"T"
"Fallout 3","PC",2008,"Role-Playing","Bethesda Softworks",0.02,0.88,0,0.08,0.98,7.9,"M"
"Mario Party Advance","GBA",2005,"Misc","Nintendo",0.5,0.19,0.28,0.02,0.98,5.4,"E"
"Zoo Tycoon DS","DS",2005,"Strategy","THQ",0.86,0.03,0.01,0.08,0.98,6.6,"E"
"WWE SmackDown vs Raw 2008","Wii",2007,"Fighting","THQ",0.38,0.5,0,0.11,0.98,5.9,"T"
"Dead Space 3","X360",2013,"Action","Electronic Arts",0.64,0.26,0,0.08,0.98,6.4,"M"
"Tom Clancy's Splinter Cell: Blacklist","X360",2013,"Action","Ubisoft",0.57,0.32,0.01,0.08,0.98,7.5,"M"
"Madden NFL 10","PS2",2009,"Sports","Electronic Arts",0.88,0,0,0.1,0.98,7.2,"E"
"NBA 2K10","X360",2009,"Sports","Take-Two Interactive",0.88,0.02,0,0.08,0.97,7.6,"E"
"NCAA Football 06","XB",2005,"Sports","Electronic Arts",0.73,0.21,0,0.03,0.97,8.3,"E"
"Madden NFL 16","X360",2015,"Sports","Electronic Arts",0.85,0.02,0,0.1,0.97,5.1,"E"
"Grand Theft Auto: San Andreas","PC",2005,"Action","Take-Two Interactive",0,0.93,0,0.04,0.97,8.9,"M"
"Madden NFL 08","PS3",2007,"Sports","Electronic Arts",0.89,0,0,0.08,0.97,5.3,"E"
"Fire Emblem","GBA",2003,"Strategy","Nintendo",0.49,0.18,0.29,0.01,0.97,9.2,"E"
"Brutal Legend","X360",2009,"Action","Electronic Arts",0.62,0.26,0,0.09,0.97,8,"M"
"Disney Infinity","PS3",2013,"Action","Disney Interactive Studios",0.49,0.32,0,0.16,0.97,5.9,"E10+"
"NHL 2004","PS2",2003,"Sports","Electronic Arts",0.47,0.37,0,0.12,0.97,7.6,"E"
"Grand Theft Auto: Vice City Stories","PS2",2007,"Action","Take-Two Interactive",0.78,0.03,0.03,0.13,0.97,7.9,"M"
"Wheel of Fortune","Wii",2010,"Misc","THQ",0.86,0.04,0,0.06,0.97,7.6,"E"
"FIFA Soccer 2005","XB",2004,"Sports","Electronic Arts",0.33,0.6,0,0.04,0.97,8.7,"E"
"Mass Effect 3","PC",2012,"Role-Playing","Electronic Arts",0.4,0.44,0,0.12,0.97,5.5,"M"
"Cars","DS",2006,"Racing","THQ",0.85,0.04,0,0.07,0.97,2.1,"E"
"Band Hero","Wii",2009,"Misc","Activision",0.59,0.29,0,0.09,0.97,6.6,"E10+"
"Skylanders: Spyro's Adventure","X360",2011,"Action","Activision",0.53,0.34,0,0.1,0.97,5.2,"E10+"
"LEGO Star Wars II: The Original Trilogy","GC",2006,"Action","LucasArts",0.75,0.19,0,0.03,0.97,9.1,"E10+"
"Medal of Honor: Underground","PS",2000,"Shooter","Electronic Arts",0.54,0.37,0,0.06,0.97,9,"T"
"Dark Cloud 2","PS2",2002,"Role-Playing","Sony Computer Entertainment",0.38,0.25,0.26,0.07,0.96,9.1,"T"
"Far Cry 3","PC",2012,"Shooter","Ubisoft",0.22,0.62,0,0.12,0.96,8.2,"M"
"Evolve","PS4",2015,"Shooter","Take-Two Interactive",0.36,0.41,0.05,0.15,0.96,4.3,"M"
"Dead Space 3","PS3",2013,"Action","Electronic Arts",0.44,0.36,0,0.16,0.96,6.4,"M"
"NHL 2001","PS2",2000,"Sports","Electronic Arts",0.47,0.37,0,0.12,0.96,8.1,"E"
"Farming Simulator 2013","PC",2012,"Simulation","Focus Home Interactive",0,0.81,0,0.15,0.96,7.5,"E"
"Guitar Hero: Warriors of Rock","Wii",2010,"Misc","Activision",0.47,0.4,0,0.09,0.96,7.5,"T"
"de Blob","Wii",2008,"Platform","THQ",0.49,0.37,0,0.1,0.96,8.6,"E"
